i,2,11,-1,136,-184,10095
i,6,14,1,157,-248,10150
i,5,12,1,131,-311,10124
i,9,10,-2,119,-303,10026
i,4,6,0,100,-246,9976
i,3,6,2,69,-222,9645
i,4,8,-2,98,-200,9607
i,4,10,0,90,-200,9576
i,5,14,0,145,-198,9523
i,1,10,-1,69,-229,9717,3,10,0,122,-232,9799
i,1,11,0,110,-179,9698
i,1,12,0,124,-253,9772
i,1,7,0,117,-210,9688
i,1,11,-1,129,-277,9717
i,2,11,-2,114,-263,9741
i,2,11,0,129,-301,9746
i,0,10,1,143,-224,9799
i,2,13,-2,179,-236,9834
i,-1,8,0,150,-239,9849
i,0,8,-1,86,-232,9629
i,0,10,-1,136,-208,9784
i,-1,9,0,124,-172,9779
i,1,9,0,157,-212,9803
i,2,9,-1,83,-239,9772
i,2,13,-2,155,-244,9746
i,-1,11,0,124,-241,9803
i,0,11,0,88,-234,9784
i,0,8,0,110,-220,9791
i,0,9,0,169,-208,9834
i,2,13,-1,193,-255,9739
i,0,12,-2,122,-229,9818
i,1,9,0,136,-277,9763
i,1,12,-2,114,-222,9755
i,0,11,0,138,-212,9799
i,2,11,-1,153,-236,9921
i,0,11,0,138,-270,9887
i,1,12,1,155,-248,9796
i,1,12,0,184,-301,9772
i,0,12,0,74,-244,9619
i,1,10,-1,193,-279,9825
i,-1,11,0,122,-246,9775
i,-1,8,-1,64,-260,9729
i,0,11,-2,83,-284,9777
i,1,10,0,174,-227,9877
i,1,9,0,83,-210,9715
i,0,10,-1,143,-205,9882
i,-1,11,0,98,-299,9866
i,5,12,-2,78,-236,9794
i,1,9,-1,102,-277,9803
i,0,10,0,138,-246,9818
i,1,11,0,148,-296,9866
i,1,7,0,117,-205,9732
i,2,10,-1,145,-244,9796
i,-1,7,-1,81,-234,9755
i,2,11,0,117,-232,9779
i,1,10,0,55,-229,9822
i,1,10,-1,124,-241,9710
i,0,12,0,98,-241,9760
i,-2,11,1,117,-234,9727
i,4,12,0,78,-248,9720
i,0,10,0,133,-260,9746
i,-3,10,0,107,-239,9758
i,-1,12,0,136,-265,9870
i,2,8,0,81,-275,9882
i,-2,11,-2,133,-260,9691
i,1,7,-1,98,-203,9889
i,1,12,-4,93,-212,9732
i,2,13,-1,9,-272,9799
i,-2,8,0,98,-301,9779
i,0,11,0,81,-222,9808
i,0,13,-3,59,-234,9799
i,-1,9,0,112,-244,9813
i,1,9,0,117,-255,9820
i,1,13,-2,81,-232,9784
i,1,13,0,71,-210,9877
i,1,9,0,110,-239,9751
i,0,8,0,47,-210,9755
i,2,11,0,105,-215,9794
i,0,10,0,76,-267,9729
i,-3,14,0,95,-208,9791
i,0,8,-2,117,-248,9777
i,1,12,0,50,-234,9710
i,0,10,0,105,-289,9746
i,0,13,0,62,-275,9715
i,3,10,-2,43,-217,9693
i,-1,13,0,2,-184,9722
i,-3,11,-1,74,-229,9832
i,0,12,0,88,-232,9760
i,0,12,0,71,-208,9727
i,1,12,-1,50,-282,9758
i,1,8,-2,43,-196,9837
i,1,11,0,88,-210,9832
i,1,11,-1,90,-258,9906
i,2,10,-1,107,-241,9808
i,1,8,0,62,-200,9837
i,1,9,0,107,-246,9832
i,0,10,0,57,-203,9770
i,0,11,0,62,-291,9732
i,1,12,0,-2,-296,9803
i,-2,12,0,141,-258,9825
i,2,11,1,107,-205,9803
i,1,10,-1,105,-188,9746
i,1,13,-1,83,-191,9777
i,0,10,0,86,-169,9729
i,1,10,0,98,-205,9770
i,2,11,0,26,-203,9734
i,0,10,0,74,-200,9787
i,-1,10,-2,110,-222,9724
i,3,10,0,100,-208,9815
i,0,9,0,98,-203,9746
i,1,11,0,141,-241,9710
i,0,9,-1,40,-210,9669
i,-2,10,-2,90,-232,9626
i,0,10,2,93,-177,9818
i,-1,9,-1,114,-291,9739
i,1,9,0,81,-184,9724
i,2,11,0,129,-210,9787
i,2,11,0,179,-227,9789
i,1,11,0,119,-265,9789
i,1,10,-2,76,-284,9698
i,3,15,0,145,-100,9964
i,-2,1,-1,69,-196,9904
i,5,23,1,124,-241,9406
i,-4,3,0,2,-308,10248
i,4,15,0,150,-232,9574
i,2,16,0,74,-313,9983
i,-5,5,0,95,-241,9851
i,3,22,-1,188,-186,9385
i,-2,6,-1,95,-239,9858
i,4,17,0,110,-198,9495
i,-3,7,0,28,-200,10064
i,3,10,-1,136,-193,9543
i,1,16,-1,98,-246,9799
i,-2,4,1,114,-244,10002
i,3,19,-1,136,-272,9641
i,1,8,-1,28,-239,9976
i,-1,13,0,40,-210,9629
i,3,15,-1,76,-198,9772
